+-----------------+-----------------------------+---------------------+-----------------+--------------------------------------------------------+-----------------------+--------------------------------------------------------+-------------------+-------------------------+-------------------------+
|       Lp.       |            Title            |      Equations      |  Observations   |                 All minimal conflicts                  | All minimal diagnosis |                   Minimal conflicts                    | Minimal diagnosis | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|                 |                             |   O1: b | c = x02   |      b = 1      |                         A5, A6                         |      A2, A6, O5       |                       A2, A5, O4                       |      A2, A6       |                         |                         |
|                 |                             |   A2: c & d = x03   |      c = 1      |                       A2, A5, O4                       |      A5, A6, O5       |                                                        |      A6, O4       |                         |                         |
|                 |                             |   O2: d | e = x04   |      d = 1      |                       A2, A6, O4                       |      A5, O4, O5       |                                                        |                   |                         |                         |
|                 |                             |  O3: b | x02 = x05  |      e = 1      |                                                        |      A6, O4, O5       |                                                        |                   |                         |                         |
|                 |                             |  A3: d & x04 = x06  |      f = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             | A4: x01 & x05 = x07 |      g = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             | O4: x03 | x06 = x08 |      h = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |   O5: f | x07 = h   |      i = 0      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = i  |      j = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |   A6: g & x08 = j   |                 |                                                        |                       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       79        |         Example 18          |   A1: a & b = x01   |      a = 1      |                           O5                           |      A2, A5, O5       |                         A5, A6                         |        A6         |                         |                         |
|                 |                             |   O1: b | c = x02   |      b = 1      |                         A5, A6                         |      A2, A6, O5       |                       A2, A6, O4                       |      A2, A5       |                         |                         |
|                 |                             |   A2: c & d = x03   |      c = 1      |                       A2, A5, O4                       |      A5, A6, O5       |                                                        |      A5, O4       |                         |                         |
|                 |                             |   O2: d | e = x04   |      d = 1      |                       A2, A6, O4                       |      A5, O4, O5       |                                                        |                   |                         |                         |
|                 |                             |  O3: b | x02 = x05  |      e = 1      |                                                        |      A6, O4, O5       |                                                        |                   |                         |                         |
|                 |                             |  A3: d & x04 = x06  |      f = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             | A4: x01 & x05 = x07 |      g = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             | O4: x03 | x06 = x08 |      h = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |   O5: f | x07 = h   |      i = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = i  |      j = 0      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |   A6: g & x08 = j   |                 |                                                        |                       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       80        |         Example 18          |   A1: a & b = x01   |      a = 1      |                           O5                           |      A2, A5, O5       |                           O5                           |      A2, O5       |                         |                         |
|                 |                             |   O1: b | c = x02   |      b = 1      |                         A5, A6                         |      A2, A6, O5       |                       A2, A5, O4                       |      O4, O5       |                         |                         |
|                 |                             |   A2: c & d = x03   |      c = 1      |                       A2, A5, O4                       |      A5, A6, O5       |                       A2, A6, O4                       |    A5, A6, O5     |                         |                         |
|                 |                             |   O2: d | e = x04   |      d = 1      |                       A2, A6, O4                       |      A5, O4, O5       |                                                        |                   |                         |                         |
|                 |                             |  O3: b | x02 = x05  |      e = 1      |                                                        |      A6, O4, O5       |                                                        |                   |                         |                         |
|                 |                             |  A3: d & x04 = x06  |      f = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             | A4: x01 & x05 = x07 |      g = 1      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             | O4: x03 | x06 = x08 |      h = 0      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |   O5: f | x07 = h   |      i = 0      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = i  |      j = 0      |                                                        |                       |                                                        |                   |                         |                         |
|                 |                             |   A6: g & x08 = j   |                 |                                                        |                       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       81        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                                                        |                   |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                       A1, A5, O2                       |      A1, A2, O8       |                                                        |                   |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |                       A2, O3, O9                       |      A1, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |                                                        |      A1, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |                                                        |      A1, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      |                                                        |      A1, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                        |      A2, A5, O8       |                                                        |                   |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                        |      A2, A6, O2       |                                                        |                   |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                        |      A2, O2, O8       |                                                        |                   |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                        |      A5, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                        |      A5, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                        |      A5, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                        |      A5, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 1      |                                                        |      A6, O2, O3       |                                                        |                   |                         |                         |
|                 |                             |                     |      q = 1      |                                                        |      A6, O2, O9       |                                                        |                   |                         |                         |
|                 |                             |                     |      r = 1      |                                                        |      O2, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      O2, O8, O9       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       82        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                       A1, A5, O2                       |        A1         |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                       A1, A5, O2                       |      A1, A2, O8       |                                                        |        A5         |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |                       A2, O3, O9                       |      A1, A6, O3       |                                                        |        O2         |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |                                                        |      A1, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |                                                        |      A1, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      |                                                        |      A1, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                        |      A2, A5, O8       |                                                        |                   |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                        |      A2, A6, O2       |                                                        |                   |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                        |      A2, O2, O8       |                                                        |                   |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                        |      A5, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                        |      A5, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                        |      A5, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                        |      A5, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 0      |                                                        |      A6, O2, O3       |                                                        |                   |                         |                         |
|                 |                             |                     |      q = 1      |                                                        |      A6, O2, O9       |                                                        |                   |                         |                         |
|                 |                             |                     |      r = 1      |                                                        |      O2, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      O2, O8, O9       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       83        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                       A1, A5, O2                       |      A1, A2       |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                       A1, A5, O2                       |      A1, A2, O8       |                       A2, O3, O9                       |      A1, O3       |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |                       A2, O3, O9                       |      A1, A6, O3       |                                                        |      A1, O9       |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |                                                        |      A1, A6, O9       |                                                        |      A2, A5       |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |                                                        |      A1, O3, O8       |                                                        |      A2, O2       |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      |                                                        |      A1, O8, O9       |                                                        |      A5, O3       |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                        |      A2, A5, A6       |                                                        |      A5, O9       |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                        |      A2, A5, O8       |                                                        |      O2, O3       |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                        |      A2, A6, O2       |                                                        |      O2, O9       |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                        |      A2, O2, O8       |                                                        |                   |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                        |      A5, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                        |      A5, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                        |      A5, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                        |      A5, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 0      |                                                        |      A6, O2, O3       |                                                        |                   |                         |                         |
|                 |                             |                     |      q = 0      |                                                        |      A6, O2, O9       |                                                        |                   |                         |                         |
|                 |                             |                     |      r = 1      |                                                        |      O2, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      O2, O8, O9       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       84        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                         A6, O8                         |      A1, A6       |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                       A1, A5, O2                       |      A1, A2, O8       |                       A1, A5, O2                       |      A1, O8       |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |                       A2, O3, O9                       |      A1, A6, O3       |                                                        |      A5, A6       |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |                                                        |      A1, A6, O9       |                                                        |      A5, O8       |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |                                                        |      A1, O3, O8       |                                                        |      A6, O2       |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      |                                                        |      A1, O8, O9       |                                                        |      O2, O8       |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                        |      A2, A5, O8       |                                                        |                   |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                        |      A2, A6, O2       |                                                        |                   |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                        |      A2, O2, O8       |                                                        |                   |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                        |      A5, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                        |      A5, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                        |      A5, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                        |      A5, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 0      |                                                        |      A6, O2, O3       |                                                        |                   |                         |                         |
|                 |                             |                     |      q = 1      |                                                        |      A6, O2, O9       |                                                        |                   |                         |                         |
|                 |                             |                     |      r = 0      |                                                        |      O2, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      O2, O8, O9       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       85        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                         A6, O8                         |      A2, A6       |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                       A1, A5, O2                       |      A1, A2, O8       |                       A2, O3, O9                       |      A2, O8       |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |                       A2, O3, O9                       |      A1, A6, O3       |                                                        |      A6, O3       |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |                                                        |      A1, A6, O9       |                                                        |      A6, O9       |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |                                                        |      A1, O3, O8       |                                                        |      O3, O8       |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      |                                                        |      A1, O8, O9       |                                                        |      O8, O9       |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                        |      A2, A5, O8       |                                                        |                   |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                        |      A2, A6, O2       |                                                        |                   |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                        |      A2, O2, O8       |                                                        |                   |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                        |      A5, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                        |      A5, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                        |      A5, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                        |      A5, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 1      |                                                        |      A6, O2, O3       |                                                        |                   |                         |                         |
|                 |                             |                     |      q = 0      |                                                        |      A6, O2, O9       |                                                        |                   |                         |                         |
|                 |                             |                     |      r = 0      |                                                        |      O2, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      O2, O8, O9       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       86        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                       A2, O3, O9                       |        A2         |                         |                         |
|                 |                             |   O2: b | d = x02   |      b = 1      |                       A1, A5, O2                       |      A1, A2, O8       |                                                        |        O3         |                         |                         |
|                 |                             |   O3: c | e = x03   |      c = 1      |                       A2, O3, O9                       |      A1, A6, O3       |                                                        |        O9         |                         |                         |
|                 |                             |   O4: f | h = x04   |      d = 1      |                                                        |      A1, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |   O5: g | i = x05   |      e = 1      |                                                        |      A1, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |   O6: h | j = x06   |      f = 1      |                                                        |      A1, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |   O7: k | m = x07   |      g = 1      |                                                        |      A2, A5, A6       |                                                        |                   |                         |                         |
|                 |                             | A1: x01 & x02 = x08 |      h = 1      |                                                        |      A2, A5, O8       |                                                        |                   |                         |                         |
|                 |                             | A2: x02 & x03 = x09 |      i = 1      |                                                        |      A2, A6, O2       |                                                        |                   |                         |                         |
|                 |                             | A3: x04 & x05 = x10 |      j = 1      |                                                        |      A2, O2, O8       |                                                        |                   |                         |                         |
|                 |                             | A4: x05 & x06 = x11 |      k = 1      |                                                        |      A5, A6, O3       |                                                        |                   |                         |                         |
|                 |                             |   O8: n | o = x12   |      m = 1      |                                                        |      A5, A6, O9       |                                                        |                   |                         |                         |
|                 |                             |  A5: x07 & x08 = p  |      n = 1      |                                                        |      A5, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |  O9: x09 | x10 = q  |      o = 1      |                                                        |      A5, O8, O9       |                                                        |                   |                         |                         |
|                 |                             |  A6: x11 & x12 = r  |      p = 1      |                                                        |      A6, O2, O3       |                                                        |                   |                         |                         |
|                 |                             |                     |      q = 0      |                                                        |      A6, O2, O9       |                                                        |                   |                         |                         |
|                 |                             |                     |      r = 1      |                                                        |      O2, O3, O8       |                                                        |                   |                         |                         |
|                 |                             |                     |                 |                                                        |      O2, O8, O9       |                                                        |                   |                         |                         |
| --------------- |       ---------------       |   ---------------   | --------------- |                    ---------------                     |    ---------------    |                    ---------------                     |  ---------------  |     ---------------     |     ---------------     |
|       87        | Example 19 nine O and six A |   O1: a | c = x01   |      a = 1      |                         A6, O8                         |      A1, A2, A6       |                         A6, O8                         |        A6         |                         |                         |
